Name,Index_Name,Ticker_Symbols
NIFTY Financial Services ,ind_niftyfinancialservices25_50list,AXISBANK.NS BAJFINANCE.NS BAJAJFINSV.NS CHOLAFIN.NS HDFCAMC.NS HDFCBANK.NS HDFCLIFE.NS HDFC.NS ICICIBANK.NS ICICIGI.NS ICICIPRULI.NS KOTAKBANK.NS M&MFIN.NS MUTHOOTFIN.NS PEL.NS PFC.NS RECLTD.NS SBILIFE.NS SRTRANSFIN.NS SBIN.NS
NIFTY FMCG,ind_niftyfmcglist,BRITANNIA.NS COLPAL.NS DABUR.NS EMAMILTD.NS GODREJCP.NS HINDUNILVR.NS ITC.NS JUBLFOOD.NS MARICO.NS NESTLEIND.NS PGHH.NS TATACONSUM.NS UBL.NS MCDOWELL-N.NS VBL.NS
NIFTY Growth Sectors,ind_NiftyGrowth_Sectors15_Index,APOLLOHOSP.NS AUROPHARMA.NS BAJAJ-AUTO.NS CIPLA.NS DABUR.NS DIVISLAB.NS DRREDDY.NS GODREJCP.NS HEROMOTOCO.NS HINDUNILVR.NS ITC.NS LUPIN.NS M&M.NS MARUTI.NS NESTLEIND.NS
NIFTY Healthcare,ind_niftyhealthcarelist,ABBOTINDIA.NS ALKEM.NS APOLLOHOSP.NS AUROPHARMA.NS BIOCON.NS CADILAHC.NS CIPLA.NS DIVISLAB.NS LALPATHLAB.NS DRREDDY.NS FORTIS.NS GLENMARK.NS IPCALAB.NS LAURUSLABS.NS LUPIN.NS NATCOPHARM.NS PFIZER.NS SANOFI.NS SUNPHARMA.NS TORNTPHARM.NS
NIFTY High Beta 50,nifty_High_Beta50_Index,AUBANK.NS ADANIENT.NS ADANIPORTS.NS APOLLOTYRE.NS ASHOKLEY.NS AXISBANK.NS BAJFINANCE.NS BAJAJFINSV.NS BANDHANBNK.NS BANKBARODA.NS BHEL.NS BPCL.NS CANFINHOME.NS CANBK.NS CHOLAFIN.NS DLF.NS ESCORTS.NS FEDERALBNK.NS GODREJPROP.NS GRAPHITE.NS GRASIM.NS HINDALCO.NS HDFC.NS ICICIBANK.NS IDFCFIRSTB.NS IBULHSGFIN.NS INDUSINDBK.NS JSWSTEEL.NS JINDALSTEL.NS L&TFH.NS LICHSGFIN.NS M&MFIN.NS MANAPPURAM.NS MARUTI.NS MUTHOOTFIN.NS NCC.NS NMDC.NS NAM-INDIA.NS PEL.NS PFC.NS RBLBANK.NS SRTRANSFIN.NS SBIN.NS SAIL.NS TATAMOTORS.NS TATAPOWER.NS TATASTEEL.NS VEDL.NS IDEA.NS ZEEL.NS
NIFTY IT,ind_niftyitlist,COFORGE.NS HCLTECH.NS INFY.NS LTI.NS MINDTREE.NS MPHASIS.NS OFSS.NS TCS.NS TECHM.NS WIPRO.NS
NIFTY LargeMidcap 250,ind_niftylargemidcap250list,3MINDIA.NS ABB.NS ACC.NS AIAENG.NS AUBANK.NS AARTIIND.NS AAVAS.NS ABBOTINDIA.NS ADANIENT.NS ADANIGREEN.NS ADANIPORTS.NS ATGL.NS ADANITRANS.NS ABCAPITAL.NS ABFRL.NS AJANTPHARM.NS AKZOINDIA.NS APLLTD.NS ALKEM.NS AMARAJABAT.NS AMBUJACEM.NS APOLLOHOSP.NS APOLLOTYRE.NS ASHOKLEY.NS ASIANPAINT.NS ASTRAZEN.NS ASTRAL.NS ATUL.NS AUROPHARMA.NS DMART.NS AXISBANK.NS BAJAJ-AUTO.NS BAJFINANCE.NS BAJAJFINSV.NS BAJAJHLDNG.NS BALKRISIND.NS BANDHANBNK.NS BANKBARODA.NS BANKINDIA.NS BATAINDIA.NS BAYERCROP.NS BERGEPAINT.NS BEL.NS BHARATFORG.NS BHEL.NS BPCL.NS BHARTIARTL.NS BIOCON.NS BBTC.NS BOSCHLTD.NS BRITANNIA.NS CESC.NS CRISIL.NS CADILAHC.NS CANBK.NS CASTROLIND.NS CHOLAHLDNG.NS CHOLAFIN.NS CIPLA.NS CUB.NS COALINDIA.NS COFORGE.NS COLPAL.NS CONCOR.NS COROMANDEL.NS CREDITACC.NS CROMPTON.NS CUMMINSIND.NS DLF.NS DABUR.NS DALBHARAT.NS DEEPAKNTR.NS DHANI.NS DIVISLAB.NS DIXON.NS LALPATHLAB.NS DRREDDY.NS EICHERMOT.NS EMAMILTD.NS ENDURANCE.NS ESCORTS.NS EXIDEIND.NS FEDERALBNK.NS FORTIS.NS GAIL.NS GMRINFRA.NS GICRE.NS GILLETTE.NS GLAND.NS GLAXO.NS GLENMARK.NS GODREJAGRO.NS GODREJCP.NS GODREJIND.NS GODREJPROP.NS GRASIM.NS GUJGASLTD.NS GSPL.NS HCLTECH.NS HDFCAMC.NS HDFCBANK.NS HDFCLIFE.NS HATSUN.NS HAVELLS.NS HEROMOTOCO.NS HINDALCO.NS HAL.NS HINDPETRO.NS HINDUNILVR.NS HINDZINC.NS HONAUT.NS HDFC.NS ICICIBANK.NS ICICIGI.NS ICICIPRULI.NS ISEC.NS IDBI.NS IDFCFIRSTB.NS IIFLWAM.NS ITC.NS ITI.NS IBULHSGFIN.NS INDIAMART.NS INDHOTEL.NS IOC.NS IRCTC.NS IGL.NS INDUSTOWER.NS INDUSINDBK.NS NAUKRI.NS INFY.NS INDIGO.NS IPCALAB.NS JKCEMENT.NS JMFINANCIL.NS JSWENERGY.NS JSWSTEEL.NS JINDALSTEL.NS JUBLFOOD.NS KANSAINER.NS KOTAKBANK.NS L&TFH.NS LTTS.NS LICHSGFIN.NS LTI.NS LT.NS LAURUSLABS.NS LUPIN.NS MRF.NS MGL.NS M&MFIN.NS M&M.NS MANAPPURAM.NS MARICO.NS MARUTI.NS MFSL.NS MAXHEALTH.NS METROPOLIS.NS MINDTREE.NS MINDAIND.NS MOTILALOFS.NS MPHASIS.NS MUTHOOTFIN.NS NATCOPHARM.NS NHPC.NS NMDC.NS NTPC.NS NAVINFLUOR.NS NESTLEIND.NS NAM-INDIA.NS OBEROIRLTY.NS ONGC.NS OIL.NS OFSS.NS PIIND.NS PAGEIND.NS PERSISTENT.NS PETRONET.NS PFIZER.NS PHOENIXLTD.NS PIDILITIND.NS PEL.NS POLYCAB.NS PFC.NS POWERGRID.NS PRESTIGE.NS PGHL.NS PGHH.NS PNB.NS RBLBANK.NS RECLTD.NS RAJESHEXPO.NS RELAXO.NS RELIANCE.NS SBICARD.NS SBILIFE.NS SJVN.NS SKFINDIA.NS SRF.NS SANOFI.NS SCHAEFFLER.NS SHREECEM.NS SRTRANSFIN.NS SIEMENS.NS SOLARINDS.NS SBIN.NS SAIL.NS SUMICHEM.NS SUNPHARMA.NS SUNTV.NS SUNDARMFIN.NS SUNDRMFAST.NS SUPREMEIND.NS SUVENPHAR.NS SYNGENE.NS TTKPRESTIG.NS TVSMOTOR.NS TATACHEM.NS TATACOMM.NS TCS.NS TATACONSUM.NS TATAELXSI.NS TATAMOTORS.NS TATAPOWER.NS TATASTEEL.NS TECHM.NS NIACL.NS RAMCOCEM.NS THERMAX.NS TITAN.NS TORNTPHARM.NS TORNTPOWER.NS TRENT.NS TIINDIA.NS UPL.NS ULTRACEMCO.NS UNIONBANK.NS UBL.NS MCDOWELL-N.NS VGUARD.NS VBL.NS VEDL.NS VINATIORGA.NS IDEA.NS VOLTAS.NS WHIRLPOOL.NS WIPRO.NS YESBANK.NS ZEEL.NS ZYDUSWELL.NS
NIFTY Low Volatility 50,nifty_Low_Volatility50_Index,ACC.NS ABBOTINDIA.NS ALKEM.NS AMBUJACEM.NS ASIANPAINT.NS BAJAJ-AUTO.NS BATAINDIA.NS BERGEPAINT.NS BRITANNIA.NS CIPLA.NS COALINDIA.NS COLPAL.NS COROMANDEL.NS CROMPTON.NS DABUR.NS DIVISLAB.NS DRREDDY.NS EXIDEIND.NS FORTIS.NS HCLTECH.NS HDFCBANK.NS HDFCLIFE.NS HINDUNILVR.NS ITC.NS IOC.NS INFY.NS LT.NS LUPIN.NS MRF.NS MGL.NS MARICO.NS NTPC.NS NESTLEIND.NS OFSS.NS PIIND.NS PAGEIND.NS PFIZER.NS PIDILITIND.NS POWERGRID.NS SBILIFE.NS SHREECEM.NS SIEMENS.NS SYNGENE.NS TCS.NS TECHM.NS TORNTPHARM.NS TORNTPOWER.NS ULTRACEMCO.NS UBL.NS WIPRO.NS
NIFTY Mahindra Group,ind_nifty_mahindralist,M&MFIN.NS M&M.NS MAHINDCIE.NS MAHEPC.NS MHRIL.NS MAHLIFE.NS MAHLOG.NS SWARAJENG.NS TECHM.NS
NIFTY Media,ind_niftymedialist,DBCORP.NS DISHTV.NS INOXLEISUR.NS JAGRAN.NS NETWORK18.NS PVR.NS SUNTV.NS TVTODAY.NS TV18BRDCST.NS ZEEL.NS
